ip,requests,unique_paths,avg_bytes,4xx_count,5xx_count,error_count,suspicious_path_hits,time_window_sec,req_per_sec,error_rate,log_requests,log_unique_paths,log_suspicious_path_hits,log_req_per_sec,anomaly_score,is_anomaly
66.249.66.1,3,3,1703.3333333333333,0,0,0,0,120.0,0.025,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0246926125903715,-0.02202032475881277,1
185.220.101.1,7,7,1078.7142857142858,6,0,6,1,150.0,0.04666666666666667,0.8571428571428571,2.0794415416798357,2.0794415416798357,0.6931471805599453,0.04561051125205231,-0.012085762576250825,1
45.33.32.156,6,6,977.6666666666666,4,1,5,3,150.0,0.04,0.8333333333333334,1.9459101490553132,1.9459101490553132,1.3862943611198906,0.039220713153281295,-0.011363290322721098,1
203.0.113.45,4,4,695.25,4,0,4,3,185.0,0.021621621621621623,1.0,1.6094379124341003,1.6094379124341003,1.3862943611198906,0.02139118998131756,0.0028408225806803022,0
198.51.100.23,7,1,977.1428571428571,5,0,5,0,165.0,0.04242424242424243,0.7142857142857143,2.0794415416798357,0.6931471805599453,0.0,0.04154900291287243,0.003220919782079834,0
104.244.72.115,4,4,762.5,4,0,4,2,125.0,0.032,1.0,1.6094379124341003,1.6094379124341003,1.0986122886681098,0.03149866705937099,0.034000069710990455,0
192.168.1.10,1,1,5123.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.06034463771842402,0
192.168.1.12,1,1,1120.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.12157661810408449,0
192.168.1.18,1,1,3421.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.1517222837478634,0
192.168.1.30,1,1,3100.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.17423494480644658,0
192.168.1.35,1,1,1700.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.185903642179241,0
192.168.1.25,1,1,2540.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.2026191572730351,0
192.168.1.20,1,1,1987.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.20477882166684697,0
192.168.1.11,1,1,2310.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.2083744639318298,0
192.168.1.15,1,1,2130.0,0,0,0,0,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.21004572005818478,0
